player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Precious Achiuwa,C,24,TOR,11,0,19,2.9,6.4,0.457,0.5,1.7,0.263,2.5,4.6,0.529,0.493,0.9,1.5,0.588,1.8,4.3,6.1,2.3,0.5,0.5,1.4,1.6,7.2
Bam Adebayo,C,26,MIA,14,14,34.4,8.3,15.5,0.535,0.1,0.2,0.333,8.2,15.3,0.537,0.537,6.1,7.4,0.825,2.2,8.1,10.4,3.9,1.4,1,2.6,2.5,22.7
Ochai Agbaji,SG,23,UTA,16,6,18.9,1.9,4.4,0.429,1,2.7,0.372,0.9,1.7,0.519,0.543,0.2,0.3,0.6,0.9,1.8,2.6,1,0.5,0.8,0.7,1.5,4.9
Santi Aldama,PF,23,MEM,10,4,26.5,5.8,13,0.446,2,6,0.333,3.8,7,0.543,0.523,1,1.7,0.588,1.2,4.7,5.9,2,0.5,0.6,1.3,1.7,14.6
Nickeil Alexander-Walker,SG,25,MIN,16,5,22.2,2.3,5.6,0.416,1.3,3.8,0.35,1,1.8,0.552,0.534,0.2,0.6,0.333,0.3,1.7,2,2.6,0.8,0.8,0.8,1.9,6.1
Grayson Allen,SG,28,PHO,16,16,32.5,4.1,8.4,0.489,2.4,5,0.475,1.8,3.4,0.509,0.63,1.3,1.6,0.84,0.8,3.7,4.5,2.9,0.6,0.4,1.6,2.4,11.9
Jarrett Allen,C,25,CLE,12,12,28.3,5.3,8,0.667,0,0,0,5.3,8,0.667,0.667,3.1,4.1,0.755,3,4.7,7.7,2.3,0.6,1.3,1.9,2.6,13.8
Jose Alvarado,PG,25,NOP,4,0,18,3,7.8,0.387,1.5,4.3,0.353,1.5,3.5,0.429,0.484,0.5,1.5,0.333,0.5,2,2.5,2.3,1.5,0.3,1,1.5,8
Kyle Anderson,PF,30,MIN,16,0,24.5,2.9,5.4,0.54,0.1,0.7,0.182,2.8,4.8,0.592,0.552,1.3,2.1,0.606,0.7,3.1,3.8,4,0.9,0.9,1.6,1.5,7.3
Giannis Antetokounmpo,PF,29,MIL,16,16,33.6,11.4,19.3,0.594,0.4,1.9,0.226,11,17.3,0.635,0.606,6.6,10.4,0.633,2.7,7.9,10.6,4.6,1.2,1.2,4.1,3.1,29.9
Thanasis Antetokounmpo,PF,31,MIL,7,0,6.3,0.4,1.1,0.375,0,0,0,0.4,1.1,0.375,0.375,0,0,0,0.3,0.3,0.6,0.6,0.1,0.1,0.6,1,0.9
Cole Anthony,PG,23,ORL,17,0,25.9,4.7,10.9,0.43,1.4,3.9,0.358,3.3,7,0.471,0.495,4.2,4.9,0.845,1.1,3.5,4.6,3.7,0.8,0.4,2.2,2.8,15
OG Anunoby,SF,26,TOR,13,13,31.7,5.8,11.9,0.484,2.6,6.4,0.41,3.2,5.5,0.569,0.594,1.3,2.2,0.607,1.1,3.2,4.2,2.2,1.1,0.7,1.8,2.1,15.5
Ryan Arcidiacono,PG,29,NYK,5,0,2.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0
Deni Avdija,SF,23,WAS,16,16,27,4.7,9.2,0.51,1.1,2.8,0.4,3.6,6.4,0.559,0.571,1.3,1.6,0.808,1.4,4.1,5.4,3.4,0.9,0.3,1.5,2.4,11.8
Deandre Ayton,C,25,POR,15,15,31.5,6,10.3,0.584,0,0,0,6,10.3,0.584,0.584,0.7,1,0.733,3.3,7.6,10.9,1.6,1.4,0.9,1.9,2.7,12.7
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0,0,0,0,2,2,0,0,0,0,0.5,1
Marvin Bagley III,C,24,DET,16,6,19.3,4.3,7.3,0.586,0.1,0.3,0.2,4.2,6.9,0.604,0.591,2.4,2.6,0.905,1.9,3.3,5.2,1.4,0.1,0.7,1.3,1.7,10.9
Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,2,0,2,0,0,0,0,0,2
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,0
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,6,0,3,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.8,0.8,1,0.5,0.8,1.3,0,0.2,0.3,0.5,0.5,1.8
Paolo Banchero,PF,21,ORL,17,17,33.5,7.2,14.7,0.488,1.4,3.2,0.436,5.8,11.5,0.503,0.536,4.1,6.2,0.651,1.3,5.2,6.5,4.6,1.2,0.6,3.2,2.3,19.8
Desmond Bane,SG,25,MEM,16,16,34.1,8.5,19.3,0.442,3.3,9.1,0.359,5.3,10.2,0.515,0.526,3.4,3.9,0.871,0.9,3.5,4.4,5,1.3,0.6,2.7,3.1,23.6
Dalano Banton,PG,24,BOS,7,1,7.9,1.3,2.7,0.474,0,0.6,0,1.3,2.1,0.6,0.474,0.7,0.7,1,0.9,1.4,2.3,0.4,0.3,0,0.3,1.3,3.3
Dominick Barlow,PF,20,SAS,6,0,5.3,0.3,1,0.333,0,0,0,0.3,1,0.333,0.333,0.3,0.7,0.5,0,0.8,0.8,0,0.2,0,0,0.3,1
Harrison Barnes,PF,31,SAC,15,15,31.5,4.1,8.8,0.47,1.9,5.1,0.377,2.2,3.7,0.6,0.58,2.4,2.9,0.837,0.7,2.3,3.1,1.5,0.8,0.1,0.9,1.1,12.6
Scottie Barnes,SG,22,TOR,17,17,34.4,7.1,15.3,0.465,1.9,5,0.376,5.2,10.3,0.509,0.527,2.9,3.8,0.754,2.6,6.5,9.1,5.6,1.6,1.3,2.5,1.9,19
RJ Barrett,SG,23,NYK,11,11,30.1,6.7,15.1,0.446,2.3,5.1,0.446,4.5,10,0.445,0.521,3.7,4.5,0.837,0.5,3.4,3.9,2.5,0.5,0.3,2.1,1.6,19.5
Charles Bassey,C,23,SAS,17,0,10.7,1.5,2.1,0.694,0,0.1,0,1.5,2.1,0.714,0.694,0.3,0.4,0.833,1.2,2.5,3.8,1.1,0.5,0.7,0.8,1.4,3.2
Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,0.267,0.4,1.7,0.25,0.1,0.4,0.333,0.367,0.1,0.3,0.5,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7
Keita Bates-Diop,SF,28,PHO,14,6,20.4,2.1,5.1,0.403,0.6,2.1,0.276,1.5,3.1,0.488,0.458,1.1,1.6,0.682,1.1,2.5,3.6,1,0.8,1,0.2,1.4,5.8
Nicolas Batum,PF,35,TOT,11,5,24.1,2,3.6,0.55,1.5,3.2,0.486,0.5,0.5,1,0.763,0.3,0.4,0.75,0.8,2.8,3.6,1.5,0.5,1,0.5,2.1,5.8
