player,position,age,team,month,year,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
A.J. Green,SG,24,MIL,January,2024,27,0,7.6,1.1,2.6,0.429,0.9,2.2,0.417,0.2,0.4,0.5,0.607,0.1,0.1,1,0.2,0.6,0.8,0.6,0,0,0,0.9,3.3
A.J. Lawson,SG,23,DAL,January,2024,20,0,9.7,1.6,3.5,0.464,0.6,1.8,0.343,1,1.7,0.588,0.551,0.6,0.8,0.733,0.5,0.9,1.3,0.6,0.5,0.1,0.5,0.7,4.4
Aaron Gordon,PF,28,DEN,January,2024,39,39,32.1,5.4,10,0.542,0.5,1.8,0.282,4.9,8.2,0.601,0.568,2.2,3.6,0.621,2.6,4,6.6,3.1,0.8,0.6,1.3,1.8,13.6
Aaron Holiday,PG,27,HOU,January,2024,41,1,17.1,2.3,5.3,0.444,1.2,2.9,0.403,1.2,2.4,0.495,0.556,0.8,0.8,0.912,0.2,1.6,1.9,1.6,0.6,0.1,0.7,1.5,6.6
Aaron Nesmith,SF,24,IND,January,2024,39,14,25.7,4.2,8.3,0.505,2.1,4.6,0.453,2.1,3.7,0.568,0.629,1.2,1.6,0.703,0.9,2.5,3.4,1.1,1.1,0.7,0.9,3.3,11.6
Aaron Wiggins,SG,25,OKC,January,2024,41,0,12.8,2.2,3.6,0.605,0.6,1.1,0.533,1.6,2.5,0.637,0.687,0.5,0.7,0.759,0.6,1.6,2.2,0.9,0.4,0.1,0.5,1.2,5.5
Adama Sanogo,PF,21,CHI,January,2024,3,0,3.7,1,1,1,0,0,0,1,1,1,1,0.7,1,0.667,0.7,1.3,2,0,0,0,0.3,0,2.7
Admiral Schofield,PF,26,ORL,January,2024,12,0,3.8,0.4,1.3,0.333,0.2,0.8,0.222,0.3,0.5,0.5,0.4,0,0.2,0,0.1,0.5,0.6,0.3,0,0,0.3,0.6,1
AJ Griffin,SF,20,ATL,January,2024,17,0,7.7,0.8,2.6,0.295,0.5,1.9,0.273,0.2,0.6,0.364,0.398,0.1,0.1,1,0.1,0.6,0.8,0.2,0.1,0.1,0.4,0.4,2.2
Al Horford,C,37,BOS,January,2024,36,17,27.2,2.9,6,0.491,1.6,3.9,0.415,1.3,2.1,0.635,0.627,0.3,0.4,0.857,1.4,5.5,6.9,2.8,0.5,1,0.8,1.6,7.9
Alec Burks,SG,32,DET,January,2024,37,0,20.5,3.8,9.7,0.391,2.4,5.9,0.402,1.4,3.8,0.374,0.514,2.8,3.1,0.895,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.5,12.7
Aleksej Pokusevski,PF,22,OKC,January,2024,8,0,6,0.4,1.6,0.231,0.1,1.1,0.111,0.3,0.5,0.5,0.269,0.1,0.3,0.5,0.3,0.9,1.1,0.6,0,0.1,0.4,0.6,1
Alex Caruso,SG,29,CHI,January,2024,38,26,25.7,3.5,7.1,0.491,1.8,4.3,0.42,1.7,2.9,0.596,0.616,1.1,1.5,0.768,1,2.6,3.5,2.6,1.3,0.9,1.3,2.4,9.9
